DATE,BOGMBASEW_CHG
1975-01-15,-1029
1975-01-22,97
1975-01-29,-1630
1975-02-05,-297
1975-02-12,-368
1975-02-19,-30
1975-02-26,-712
1975-03-05,-19
1975-03-12,57
1975-03-19,876
1975-03-26,370
1975-04-02,203
1975-04-09,-242
1975-04-16,910
1975-04-23,267
1975-04-30,-676
1975-05-07,-80
1975-05-14,-174
1975-05-21,1135
1975-05-28,-533
1975-06-04,582
1975-06-11,-329
1975-06-18,1473
1975-06-25,58
1975-07-02,752
1975-07-09,-263
1975-07-16,462
1975-07-23,275
1975-07-30,-1100
1975-08-06,-329
1975-08-13,37
1975-08-20,1194
1975-08-27,-742
1975-09-03,44
1975-09-10,-321
1975-09-17,544
1975-09-24,-140
1975-10-01,157
1975-10-08,-769
1975-10-15,1152
1975-10-22,703
1975-10-29,-752
1975-11-05,323
1975-11-12,-332
1975-11-19,2036
1975-11-26,199
1975-12-03,169
1975-12-10,-170
1975-12-17,1172
1975-12-24,449
1975-12-31,680
1976-01-07,-454
1976-01-14,-1596
1976-01-21,-308
1976-01-28,-1487
1976-02-04,42
1976-02-11,-705
1976-02-18,1666
1976-02-25,-867
1976-03-03,32
1976-03-10,-420
1976-03-17,1271
1976-03-24,395
1976-03-31,58
1976-04-07,-217
1976-04-14,975
1976-04-21,1790
1976-04-28,-1093
1976-05-05,749
1976-05-12,-1292
1976-05-19,1148
1976-05-26,-537
1976-06-02,398
1976-06-09,-235
1976-06-16,1251
1976-06-23,-411
1976-06-30,597
1976-07-07,449
1976-07-14,-72
1976-07-21,1054
1976-07-28,-1420
1976-08-04,586
1976-08-11,-694
1976-08-18,1358
1976-08-25,-628
1976-09-01,-422
1976-09-08,-85
1976-09-15,552
1976-09-22,190
1976-09-29,-282
1976-10-06,318
1976-10-13,-27
1976-10-20,1811
1976-10-27,-1288
1976-11-03,527
1976-11-10,-92
1976-11-17,2109
1976-11-24,-12
1976-12-01,446
1976-12-08,-605
1976-12-15,1333
1976-12-22,795
1976-12-29,511
1977-01-05,-194
1977-01-12,-1139
1977-01-19,69
1977-01-26,-1069
1977-02-02,-1383
1977-02-09,-327
1977-02-16,520
1977-02-23,442
