Date,BTC Market Cap,BTC Supply Curr,BTC Coins Generated,BTC Inflation (%),BTC S2F,BTC 28Day Avg S2F,BTC Days Above,BTC 28 Day Range,BTC S2F Ratio,DCR Supply Curr,DCR Market Cap,DCR Coins Generated,DCR Inflation (%),DCR S2F,DCR 28Day Avg,DCR Days Above,DCR 28 Day Range,DCR S2F Ratio,Dash Supply Curr,Dash Market Cap,Dash Coins Generated,Dash Inflation (%),Dash S2F,Dash 28Day Avg,Dash Days Above,Dash 28 Day Range,Dash S2F Ratio,LTC Supply Curr,LTC Market Cap,LTC Coins Generated,LTC Inflation (%),LTC S2F,LTC 28Day Avg,LTC Days Above,LTC 28 Day Range,LTC S2F Ratio,BCH Supply Curr,BCH Market Cap,BCH Coins Generated,BCH Inflation (%),BCH S2F,BCH 28Day Avg,BCH Days Above,BCH 28 Day Range,BCH S2F Ratio
5/01/2009,#N/A,#N/A,0,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
6/01/2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
7/01/2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
8/01/2009,#N/A,0,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
9/01/2009,#N/A,950,950,86.6875,0.011535689,#N/A,,0,0.219983991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
10/01/2009,#N/A,4000,3050,128.699422,0.007770043,#N/A,,0,0.054922087,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
11/01/2009,#N/A,8650,4650,127.1348315,0.007865665,#N/A,,0,0.05733242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
12/01/2009,#N/A,13350,4700,87.97435897,0.011366948,#N/A,,0,0.208890537,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
13/01/2009,#N/A,19500,6150,86.50289017,0.011560307,#N/A,,0,0.221636986,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
14/01/2009,#N/A,25950,6450,73,0.01369863,#N/A,,0,0.402223117,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,#N/A
